,kind,etag,id,snippet
kind,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",youtube#channel,
channelId,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",UCKqH_9mk1waLgBiL2vT5b9g,UCKqH_9mk1waLgBiL2vT5b9g
publishedAt,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,2011-09-15T07:05:29.000Z
title,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,VanossGaming
description,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,Official Vanoss Gaming YouTube Channel.
thumbnails,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,"{'default': {'url': 'https://yt3.ggpht.com/-CCKHNHdlWLI/AAAAAAAAAAI/AAAAAAAAAAA/5ccNwzQGPVI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-CCKHNHdlWLI/AAAAAAAAAAI/AAAAAAAAAAA/5ccNwzQGPVI/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-CCKHNHdlWLI/AAAAAAAAAAI/AAAAAAAAAAA/5ccNwzQGPVI/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}"
channelTitle,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,VanossGaming
liveBroadcastContent,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/vVRfhhBa_2rYc3PcoiFiqnGt98E""",,upcoming
