,kind,etag,id,snippet
kind,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",youtube#channel,
channelId,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",UCZy9pZM0dvQHVXyk5Bib1Wg,UCZy9pZM0dvQHVXyk5Bib1Wg
publishedAt,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,2013-12-08T14:51:19.000Z
title,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,KRASI - FIFA 20 TUTORIALS & SKILLS
description,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,Professional FIFA player & most successful bulgarian player on soccer video games. Reached 5th place on World Cyber Games 2008 & 2011. European ...
thumbnails,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,"{'default': {'url': 'https://yt3.ggpht.com/-JfW0ja__6d8/AAAAAAAAAAI/AAAAAAAAAAA/ZbaRNaBDPRo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-JfW0ja__6d8/AAAAAAAAAAI/AAAAAAAAAAA/ZbaRNaBDPRo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-JfW0ja__6d8/AAAAAAAAAAI/AAAAAAAAAAA/ZbaRNaBDPRo/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}"
channelTitle,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,KRASI - FIFA 20 TUTORIALS & SKILLS
liveBroadcastContent,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/4ncAKD0u-N7fEWlVl_TIwQrD2YY""",,upcoming
