,kind,etag,id,snippet
kind,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",youtube#channel,
channelId,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",UCAW-NpUFkMyCNrvRSSGIvDQ,UCAW-NpUFkMyCNrvRSSGIvDQ
publishedAt,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,2011-11-11T06:17:51.000Z
title,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,Ninja
description,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,"Tyler ""Ninja"" Blevins is a professional Battle Royale Player and Streamer on mixer.com/ninja He currently is playing Fortnite. *Accomplishments* - 1st Place ..."
thumbnails,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,"{'default': {'url': 'https://yt3.ggpht.com/-kqfw27Nt9To/AAAAAAAAAAI/AAAAAAAAAAA/HksJhBIUCDE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-kqfw27Nt9To/AAAAAAAAAAI/AAAAAAAAAAA/HksJhBIUCDE/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-kqfw27Nt9To/AAAAAAAAAAI/AAAAAAAAAAA/HksJhBIUCDE/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}"
channelTitle,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,Ninja
liveBroadcastContent,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/cXu7WG_R9YAdV1c1pb8ofODFdQM""",,upcoming
