,kind,etag,id,snippet
kind,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",youtube#channel,
channelId,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",UCYiGq8XF7YQD00x7wAd62Zg,UCYiGq8XF7YQD00x7wAd62Zg
publishedAt,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,2013-05-19T00:09:13.000Z
title,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,JuegaGerman
description,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,Los Hombres De Verdad Gritan Como Niña.
thumbnails,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,"{'default': {'url': 'https://yt3.ggpht.com/-PPtgop-zx1c/AAAAAAAAAAI/AAAAAAAAAAA/4e4AOO7ArcQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-PPtgop-zx1c/AAAAAAAAAAI/AAAAAAAAAAA/4e4AOO7ArcQ/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-PPtgop-zx1c/AAAAAAAAAAI/AAAAAAAAAAA/4e4AOO7ArcQ/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}"
channelTitle,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,JuegaGerman
liveBroadcastContent,youtube#searchResult,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/KQ6BqPWlYmJRxTIAh0orT-LNFsg""",,upcoming
